date_key,customer_id,plan_id,data_allocated_mb,data_carried_forward_mb,data_consumed_mb,voice_minutes_used,sms_used,network_type,usage_source
20251107,C1000002,2201,1024,,393,9,0,4G,Mobile
20251108,C1000002,2002,2048,,20,13,1,4G,Mobile
20251109,C1000002,2002,2048,,76,14,2,4G,Mobile
20251110,C1000002,2004,1024,34,429,12,1,4G,Mobile
20251111,C1000002,2003,2048,595,1861,13,1,5G,Mobile
20251112,C1000002,2004,1024,9,814,13,1,4G,Mobile
20251113,C1000002,2001,1536,,397,11,2,4G,Mobile
20251114,C1000002,2001,1536,,34,17,1,4G,Mobile
20251115,C1000002,2003,2048,351,1455,12,1,5G,Mobile
20251116,C1000002,2003,2048,442,886,14,2,4G,Mobile
20251117,C1000002,2001,1536,,325,14,1,4G,Mobile
20251118,C1000002,2002,2048,,112,12,2,5G,Mobile
20251119,C1000002,2003,2048,329,222,13,1,5G,Mobile
20251120,C1000002,2003,2048,133,91,13,3,4G,Mobile
20251121,C1000002,2001,1536,,445,14,4,4G,Mobile
20251122,C1000002,2201,1024,,291,13,1,5G,Mobile
20251123,C1000002,2001,1536,,992,9,2,4G,Mobile
20251124,C1000002,2002,2048,,199,15,2,5G,Mobile
20251125,C1000002,2001,1536,,487,11,0,4G,Mobile
20251126,C1000002,2002,2048,,258,14,1,4G,Mobile
20251127,C1000002,2004,1024,371,828,7,1,4G,Mobile
20251128,C1000002,2001,1536,,402,8,1,5G,Mobile
20251129,C1000002,2001,1536,,900,9,0,4G,Mobile
20251130,C1000002,2001,1536,,1260,15,2,4G,Mobile
20251101,C1000003,2001,1536,,1049,14,4,5G,Mobile
20251102,C1000003,2002,2048,,1126,16,0,4G,Mobile
20251103,C1000003,2002,2048,,1673,6,2,4G,Mobile
20251104,C1000003,2002,2048,,940,6,2,4G,Hotspot
20251105,C1000003,2201,1024,,327,11,1,4G,Mobile
20251106,C1000003,2002,2048,,238,12,2,5G,Mobile
20251107,C1000003,2001,1536,,115,10,2,4G,Mobile
20251108,C1000003,2003,2048,258,246,15,5,4G,Mobile
20251109,C1000003,2001,1536,,664,8,1,5G,Mobile
20251110,C1000003,2001,1536,,85,19,0,5G,Hotspot
20251111,C1000003,2002,2048,,193,10,4,5G,Mobile
20251112,C1000003,2002,2048,,763,16,0,4G,Mobile
20251113,C1000003,2001,1536,,415,9,3,4G,Mobile
20251114,C1000003,2002,2048,,667,8,1,5G,Hotspot
20251115,C1000003,2003,2048,457,1105,18,2,5G,Mobile
20251116,C1000003,2002,2048,,979,3,2,4G,Mobile
20251117,C1000003,2001,1536,,381,15,4,4G,Mobile
20251118,C1000003,2201,1024,,250,12,0,5G,Hotspot
20251119,C1000003,2004,1024,98,410,9,2,4G,Mobile
20251120,C1000003,2004,1024,481,469,13,0,4G,Mobile
20251121,C1000003,2002,2048,,454,15,2,4G,Mobile
20251122,C1000003,2003,2048,41,1178,9,1,4G,Mobile
20251123,C1000003,2004,1024,512,140,9,0,4G,Mobile
20251124,C1000003,2002,2048,,1067,14,4,4G,Mobile
20251125,C1000003,2201,1024,,24,14,0,4G,Mobile
20251126,C1000003,2005,2560,,1035,16,1,4G,Hotspot
20251127,C1000003,2002,2048,,1224,10,1,4G,Mobile
20251128,C1000003,2002,2048,,221,13,0,5G,Mobile
20251129,C1000003,2001,1536,,498,11,3,4G,Mobile
20251130,C1000003,2003,2048,35,979,11,1,4G,Mobile
20251101,C1000004,2101,2048,323,538,8,1,4G,Mobile
20251102,C1000004,2101,2048,242,877,11,2,4G,Hotspot
20251103,C1000004,2102,3413,21,604,12,0,4G,Mobile
20251104,C1000004,2101,2048,356,768,6,2,5G,Mobile
20251105,C1000004,2103,6144,367,1011,12,0,4G,Mobile
20251106,C1000004,2102,3413,317,2784,9,1,4G,Mobile
20251107,C1000004,2101,2048,156,785,15,2,4G,Mobile
20251108,C1000004,2101,2048,158,512,9,0,5G,Hotspot
20251109,C1000004,2102,3413,34,232,9,0,4G,Mobile
20251110,C1000004,2101,2048,97,1234,14,2,5G,Mobile
20251111,C1000004,2101,2048,556,387,15,4,4G,Mobile
20251112,C1000004,2103,6144,362,2823,13,2,4G,Mobile
20251113,C1000004,2102,3413,275,995,16,0,4G,Mobile
20251114,C1000004,2103,6144,41,724,11,3,5G,Mobile
20251115,C1000004,2102,3413,554,2153,8,0,4G,Mobile
20251116,C1000004,2101,2048,336,786,22,4,4G,Mobile
20251117,C1000004,2102,3413,335,1829,12,2,4G,Mobile
20251118,C1000004,2101,2048,32,865,14,0,4G,Mobile
20251119,C1000004,2102,3413,61,2243,12,2,4G,Mobile
20251120,C1000004,2101,2048,45,936,12,2,5G,Mobile
20251121,C1000004,2101,2048,44,743,10,2,4G,Mobile
20251122,C1000004,2103,6144,163,772,9,2,4G,Mobile
20251123,C1000004,2101,2048,385,243,12,0,5G,Hotspot
20251124,C1000004,2103,6144,18,2042,11,0,4G,Mobile
20251125,C1000004,2101,2048,422,402,16,0,5G,Mobile
20251126,C1000004,2101,2048,76,1474,8,0,4G,Mobile
20251127,C1000004,2103,6144,19,4104,13,2,4G,Mobile
20251128,C1000004,2102,3413,17,210,12,4,4G,Mobile
20251129,C1000004,2103,6144,482,1701,10,0,5G,Hotspot
20251130,C1000004,2102,3413,594,1861,12,0,5G,Mobile
20251101,C1000005,2003,2048,248,870,10,0,4G,Mobile
20251102,C1000005,2002,2048,,1382,14,1,4G,Mobile
20251103,C1000005,2001,1536,,669,17,4,5G,Mobile
20251104,C1000005,2002,2048,,1319,11,1,4G,Hotspot
20251105,C1000005,2002,2048,,1298,18,1,4G,Mobile
20251106,C1000005,2004,1024,148,885,4,1,4G,Mobile
20251107,C1000005,2201,1024,,699,9,0,5G,Mobile
20251108,C1000005,2001,1536,,584,14,1,4G,Mobile
20251109,C1000005,2004,1024,541,532,16,0,4G,Mobile
20251110,C1000005,2001,1536,,576,16,2,4G,Hotspot
20251111,C1000005,2002,2048,,762,11,0,5G,Mobile
20251112,C1000005,2001,1536,,815,12,0,4G,Mobile
20251113,C1000005,2002,2048,,1535,8,0,4G,Hotspot
20251114,C1000005,2201,1024,,35,13,3,4G,Mobile
20251115,C1000005,2002,2048,,936,9,1,5G,Mobile
20251116,C1000005,2001,1536,,456,13,2,4G,Mobile
20251117,C1000005,2001,1536,,1339,12,3,4G,Mobile
20251118,C1000005,2201,1024,,120,9,3,4G,Mobile
20251119,C1000005,2002,2048,,1301,14,2,4G,Mobile
20251120,C1000005,2201,1024,,117,11,5,4G,Mobile
20251121,C1000005,2003,2048,539,160,10,1,4G,Mobile
20251122,C1000005,2003,2048,548,98,9,2,4G,Mobile
20251123,C1000005,2002,2048,,692,7,2,4G,Mobile
20251124,C1000005,2005,2560,,1025,11,1,4G,Mobile
20251125,C1000005,2201,1024,,483,14,0,4G,Hotspot
20251126,C1000005,2001,1536,,622,9,1,4G,Mobile
20251127,C1000005,2002,2048,,1656,13,2,4G,Mobile
20251128,C1000005,2002,2048,,1069,17,0,4G,Mobile
20251129,C1000005,2201,1024,,457,7,2,4G,Mobile
20251130,C1000005,2004,1024,86,479,13,1,4G,Mobile
20251101,C1000006,2002,2048,,325,14,1,4G,Mobile
20251102,C1000006,2002,2048,,1546,11,1,5G,Mobile
20251103,C1000006,2002,2048,,472,13,1,5G,Mobile
20251104,C1000006,2201,1024,,362,11,1,5G,Mobile
20251105,C1000006,2002,2048,,38,13,0,4G,Mobile
20251106,C1000006,2001,1536,,1014,14,3,4G,Mobile
20251107,C1000006,2004,1024,15,49,14,2,4G,Mobile
20251108,C1000006,2001,1536,,576,14,0,4G,Mobile
20251109,C1000006,2003,2048,499,1453,8,2,4G,Mobile
20251110,C1000006,2003,2048,593,1030,10,1,4G,Mobile
20251111,C1000006,2005,2560,,1402,6,0,4G,Hotspot
20251112,C1000006,2003,2048,4,628,9,1,4G,Mobile
20251113,C1000006,2001,1536,,1071,11,2,4G,Mobile
20251114,C1000006,2201,1024,,67,12,0,4G,Mobile
20251115,C1000006,2201,1024,,323,16,1,4G,Mobile
20251116,C1000006,2002,2048,,693,12,0,4G,Hotspot
20251117,C1000006,2003,2048,539,170,11,1,5G,Mobile
20251118,C1000006,2003,2048,368,152,10,2,4G,Mobile
20251119,C1000006,2003,2048,28,538,20,0,4G,Mobile
20251120,C1000006,2001,1536,,191,13,2,4G,Mobile
20251121,C1000006,2003,2048,472,1093,13,1,4G,Mobile
20251122,C1000006,2002,2048,,929,9,2,5G,Mobile
20251123,C1000006,2005,2560,,1247,15,3,4G,Mobile
20251124,C1000006,2201,1024,,396,22,1,4G,Hotspot
20251125,C1000006,2001,1536,,209,12,2,4G,Mobile
20251126,C1000006,2004,1024,138,524,11,1,4G,Mobile
20251127,C1000006,2001,1536,,27,11,0,4G,Mobile
20251128,C1000006,2001,1536,,828,17,2,4G,Mobile
20251129,C1000006,2001,1536,,593,16,3,4G,Mobile
20251130,C1000006,2002,2048,,853,19,0,4G,Mobile
20251101,C1000007,2005,2560,,1284,16,1,4G,Mobile
20251102,C1000007,2002,2048,,1110,13,3,4G,Mobile
20251103,C1000007,2201,1024,,199,20,1,4G,Mobile
20251104,C1000007,2002,2048,,1251,7,1,4G,Mobile
20251105,C1000007,2001,1536,,1352,13,0,4G,Mobile
20251106,C1000007,2002,2048,,147,9,2,4G,Mobile
20251107,C1000007,2003,2048,42,1442,8,1,4G,Mobile
20251108,C1000007,2003,2048,145,133,9,4,4G,Mobile
20251109,C1000007,2002,2048,,460,9,3,4G,Mobile
20251110,C1000007,2001,1536,,284,9,1,4G,Mobile
20251111,C1000007,2004,1024,252,311,13,1,4G,Mobile
20251112,C1000007,2002,2048,,434,15,2,4G,Mobile
20251113,C1000007,2201,1024,,271,17,1,4G,Mobile
20251114,C1000007,2002,2048,,164,8,1,5G,Mobile
20251115,C1000007,2002,2048,,751,8,2,4G,Mobile
20251116,C1000007,2201,1024,,596,7,0,4G,Mobile
20251117,C1000007,2001,1536,,589,11,0,4G,Mobile
20251118,C1000007,2001,1536,,398,9,1,4G,Mobile
20251119,C1000007,2004,1024,32,203,9,2,4G,Mobile
20251120,C1000007,2002,2048,,286,15,2,4G,Hotspot
20251121,C1000007,2002,2048,,221,11,1,5G,Mobile
20251122,C1000007,2002,2048,,406,9,1,5G,Mobile
20251123,C1000007,2005,2560,,1548,12,5,5G,Mobile
20251124,C1000007,2003,2048,72,796,15,2,4G,Mobile
20251125,C1000007,2005,2560,,1511,13,2,4G,Mobile
20251126,C1000007,2201,1024,,208,8,2,4G,Mobile
20251127,C1000007,2004,1024,355,594,16,2,4G,Mobile
20251128,C1000007,2002,2048,,1556,13,2,4G,Mobile
20251129,C1000007,2005,2560,,924,14,2,4G,Mobile
20251130,C1000007,2201,1024,,810,8,3,4G,Mobile
20251101,C1000008,2103,6144,458,1917,6,1,4G,Mobile
20251102,C1000008,2101,2048,434,1195,13,3,5G,Mobile
20251103,C1000008,2101,2048,47,815,8,1,4G,Mobile
20251104,C1000008,2101,2048,572,713,10,0,4G,Mobile
20251105,C1000008,2101,2048,517,312,13,1,4G,Hotspot
20251106,C1000008,2103,6144,168,3602,10,1,4G,Mobile
20251107,C1000008,2102,3413,114,344,8,1,4G,Mobile
20251108,C1000008,2101,2048,167,1063,11,0,4G,Mobile
20251109,C1000008,2101,2048,262,653,15,0,4G,Mobile
20251110,C1000008,2102,3413,282,1976,16,2,4G,Mobile
20251111,C1000008,2102,3413,15,1878,14,6,4G,Mobile
20251112,C1000008,2102,3413,551,1839,16,4,4G,Mobile
20251113,C1000008,2101,2048,14,221,8,0,5G,Mobile
20251114,C1000008,2103,6144,437,1953,13,1,5G,Mobile
20251115,C1000008,2101,2048,115,801,10,0,4G,Mobile
20251116,C1000008,2103,6144,517,3046,16,3,4G,Mobile
20251117,C1000008,2102,3413,71,2829,15,2,4G,Mobile
20251118,C1000008,2101,2048,262,1646,13,3,4G,Hotspot
20251119,C1000008,2103,6144,556,529,11,4,4G,Mobile
20251120,C1000008,2101,2048,233,710,12,2,4G,Mobile
20251121,C1000008,2102,3413,447,1015,13,0,4G,Mobile
20251122,C1000008,2103,6144,81,1954,11,2,4G,Mobile
20251123,C1000008,2103,6144,21,4544,12,0,5G,Mobile
20251124,C1000008,2102,3413,88,597,14,4,5G,Mobile
20251125,C1000008,2101,2048,451,1107,10,2,4G,Mobile
20251126,C1000008,2102,3413,297,1765,9,3,5G,Mobile
20251127,C1000008,2102,3413,533,1502,17,2,4G,Mobile
20251128,C1000008,2102,3413,359,90,9,5,4G,Hotspot
20251129,C1000008,2101,2048,17,1491,15,2,4G,Mobile
20251130,C1000008,2101,2048,471,1172,14,1,4G,Hotspot
20251101,C1000009,2001,1536,,815,11,0,5G,Mobile
20251102,C1000009,2002,2048,,1241,12,2,4G,Mobile
20251103,C1000009,2002,2048,,745,14,1,4G,Hotspot
20251104,C1000009,2002,2048,,1017,12,3,4G,Mobile
20251105,C1000009,2001,1536,,622,9,1,4G,Mobile
20251106,C1000009,2002,2048,,121,11,1,4G,Mobile
20251107,C1000009,2002,2048,,137,11,0,4G,Mobile
20251108,C1000009,2201,1024,,44,13,0,4G,Mobile
20251109,C1000009,2002,2048,,566,6,0,4G,Hotspot
20251110,C1000009,2001,1536,,1027,14,3,4G,Mobile
20251111,C1000009,2002,2048,,894,17,1,5G,Mobile
20251112,C1000009,2201,1024,,494,16,2,4G,Hotspot
20251113,C1000009,2002,2048,,824,12,0,5G,Hotspot
20251114,C1000009,2005,2560,,1283,14,0,4G,Mobile
20251115,C1000009,2002,2048,,817,10,1,4G,Mobile
20251116,C1000009,2001,1536,,259,14,0,4G,Mobile
20251117,C1000009,2003,2048,92,652,17,4,4G,Mobile
20251118,C1000009,2004,1024,57,437,11,1,4G,Mobile
20251119,C1000009,2201,1024,,476,10,0,4G,Hotspot
20251120,C1000009,2002,2048,,1098,14,1,4G,Hotspot
20251121,C1000009,2201,1024,,113,10,2,4G,Mobile
20251122,C1000009,2003,2048,158,1330,9,1,4G,Hotspot
20251123,C1000009,2003,2048,133,156,9,1,4G,Mobile
20251124,C1000009,2201,1024,,333,24,4,4G,Mobile
20251125,C1000009,2002,2048,,166,8,6,5G,Hotspot
20251126,C1000009,2005,2560,,273,11,0,5G,Mobile
20251127,C1000009,2003,2048,395,539,9,4,4G,Hotspot
20251128,C1000009,2001,1536,,108,25,3,4G,Mobile
20251129,C1000009,2001,1536,,274,17,1,5G,Hotspot
20251130,C1000009,2201,1024,,,11,1,5G,Mobile
20251101,C1000010,2201,1024,,107,9,3,4G,Hotspot
20251102,C1000010,2201,1024,,277,8,2,4G,Mobile
20251103,C1000010,2004,1024,19,515,9,2,5G,Mobile
20251104,C1000010,2004,1024,117,495,10,1,5G,Hotspot
20251105,C1000010,2001,1536,,1024,13,2,4G,Mobile
20251106,C1000010,2004,1024,187,6,11,2,4G,Mobile
20251107,C1000010,2003,2048,26,818,15,1,4G,Mobile
20251108,C1000010,2002,2048,,1830,14,1,5G,Mobile
20251109,C1000010,2004,1024,585,629,7,2,4G,Mobile
20251110,C1000010,2001,1536,,1148,12,1,4G,Mobile
20251111,C1000010,2003,2048,299,132,12,2,4G,Hotspot
20251112,C1000010,2005,2560,,401,15,2,4G,Mobile
20251113,C1000010,2201,1024,,115,5,0,5G,Mobile
20251114,C1000010,2003,2048,144,1229,13,0,4G,Mobile
20251115,C1000010,2002,2048,,1042,14,2,5G,Mobile
20251116,C1000010,2003,2048,235,433,14,1,4G,Mobile
20251117,C1000010,2001,1536,,147,10,3,4G,Mobile
20251118,C1000010,2001,1536,,245,16,1,4G,Mobile
20251119,C1000010,2005,2560,,516,13,1,4G,Mobile
20251120,C1000010,2001,1536,,627,16,1,4G,Mobile
20251121,C1000010,2002,2048,,330,12,1,4G,Mobile
20251122,C1000010,2002,2048,,758,20,2,4G,Mobile
20251123,C1000010,2201,1024,,256,15,2,4G,Mobile
20251124,C1000010,2004,1024,179,220,16,1,4G,Mobile
20251125,C1000010,2005,2560,,681,10,4,5G,Mobile
20251126,C1000010,2004,1024,12,660,16,0,4G,Mobile
20251127,C1000010,2002,2048,,1129,16,1,4G,Mobile
20251128,C1000010,2002,2048,,1678,10,2,4G,Mobile
20251129,C1000010,2001,1536,,1010,10,2,4G,Mobile
20251130,C1000010,2003,2048,257,1343,13,2,4G,Mobile
20251101,C1000011,2001,1536,,404,13,1,4G,Hotspot
20251102,C1000011,2201,1024,,619,16,0,4G,Mobile
20251103,C1000011,2001,1536,,81,12,4,4G,Mobile
20251104,C1000011,2001,1536,,973,21,1,4G,Hotspot
20251105,C1000011,2003,2048,478,1009,14,0,4G,Mobile
20251106,C1000011,2002,2048,,898,12,3,4G,Mobile
20251107,C1000011,2001,1536,,762,5,0,4G,Mobile
20251108,C1000011,2201,1024,,616,17,2,5G,Mobile
20251109,C1000011,2002,2048,,872,13,1,4G,Mobile
20251110,C1000011,2004,1024,71,808,11,1,4G,Hotspot
20251111,C1000011,2004,1024,35,210,9,0,4G,Hotspot
20251112,C1000011,2002,2048,,736,7,1,4G,Mobile
20251113,C1000011,2002,2048,,955,12,1,4G,Mobile
20251114,C1000011,2003,2048,179,132,10,3,4G,Mobile
20251115,C1000011,2201,1024,,871,10,2,5G,Hotspot
20251116,C1000011,2004,1024,418,144,11,4,5G,Hotspot
20251117,C1000011,2002,2048,,173,9,0,4G,Mobile
20251118,C1000011,2001,1536,,1092,10,0,4G,Mobile
20251119,C1000011,2003,2048,372,495,12,2,4G,Mobile
20251120,C1000011,2002,2048,,1225,8,2,5G,Mobile
20251121,C1000011,2002,2048,,496,10,1,4G,Mobile
20251122,C1000011,2004,1024,565,345,5,3,4G,Mobile
20251123,C1000011,2201,1024,,461,15,0,4G,Mobile
20251124,C1000011,2201,1024,,751,11,0,4G,Mobile
20251125,C1000011,2004,1024,11,228,13,1,4G,Mobile
20251126,C1000011,2201,1024,,65,9,1,4G,Hotspot
20251127,C1000011,2002,2048,,771,15,1,5G,Mobile
20251128,C1000011,2001,1536,,1250,8,1,4G,Mobile
20251129,C1000011,2002,2048,,603,11,1,5G,Mobile
20251130,C1000011,2004,1024,139,212,14,1,4G,Mobile
20251101,C1000012,2005,2560,,147,12,4,4G,Mobile
20251102,C1000012,2201,1024,,627,13,0,4G,Mobile
20251103,C1000012,2003,2048,194,1042,12,1,4G,Mobile
20251104,C1000012,2002,2048,,643,17,2,4G,Mobile
20251105,C1000012,2002,2048,,1599,9,0,4G,Mobile
20251106,C1000012,2003,2048,424,84,7,1,5G,Mobile
20251107,C1000012,2004,1024,577,130,14,0,4G,Mobile
20251108,C1000012,2003,2048,18,251,11,0,4G,Mobile
20251109,C1000012,2001,1536,,546,16,0,4G,Mobile
20251110,C1000012,2002,2048,,2514,10,0,5G,Mobile
20251111,C1000012,2001,1536,,450,20,2,4G,Mobile
20251112,C1000012,2003,2048,264,1569,8,2,5G,Mobile
20251113,C1000012,2001,1536,,604,11,1,5G,Mobile
20251114,C1000012,2201,1024,,273,20,3,4G,Mobile
20251115,C1000012,2005,2560,,132,12,1,4G,Mobile
20251116,C1000012,2004,1024,55,740,18,0,4G,Mobile
20251117,C1000012,2001,1536,,478,19,1,4G,Mobile
20251118,C1000012,2002,2048,,251,12,0,5G,Mobile
20251119,C1000012,2001,1536,,965,16,1,4G,Mobile
20251120,C1000012,2001,1536,,585,7,1,4G,Mobile
20251121,C1000012,2002,2048,,145,22,0,4G,Mobile
20251122,C1000012,2002,2048,,154,15,3,4G,Mobile
20251123,C1000012,2201,1024,,753,12,3,4G,Mobile
20251124,C1000012,2201,1024,,86,15,1,4G,Mobile
20251125,C1000012,2201,1024,,629,14,0,5G,Mobile
20251126,C1000012,2001,1536,,1359,10,0,4G,Hotspot
20251127,C1000012,2003,2048,34,799,15,0,5G,Mobile
20251128,C1000012,2001,1536,,977,13,3,4G,Mobile
20251129,C1000012,2003,2048,28,340,15,0,4G,Mobile
20251130,C1000012,2003,2048,513,454,11,2,5G,Mobile
20251101,C1000013,2002,2048,,1097,8,4,4G,Hotspot
20251102,C1000013,2001,1536,,577,15,3,4G,Mobile
20251103,C1000013,2001,1536,,1197,15,0,4G,Mobile
20251104,C1000013,2002,2048,,345,13,0,4G,Mobile
20251105,C1000013,2002,2048,,866,10,2,4G,Mobile
20251106,C1000013,2001,1536,,490,11,1,4G,Mobile
20251107,C1000013,2201,1024,,,9,1,4G,Mobile
20251108,C1000013,2001,1536,,1160,16,3,4G,Mobile
20251109,C1000013,2001,1536,,321,15,1,5G,Mobile
20251110,C1000013,2201,1024,,93,15,2,4G,Mobile
20251111,C1000013,2201,1024,,776,8,0,5G,Mobile
20251112,C1000013,2002,2048,,1371,15,1,4G,Mobile
20251113,C1000013,2005,2560,,1517,13,1,5G,Mobile
20251114,C1000013,2001,1536,,191,14,2,5G,Mobile
20251115,C1000013,2004,1024,75,554,12,2,4G,Mobile
20251116,C1000013,2201,1024,,426,10,1,4G,Hotspot
20251117,C1000013,2002,2048,,1427,9,1,5G,Mobile
20251118,C1000013,2001,1536,,105,7,3,4G,Mobile
20251119,C1000013,2003,2048,26,205,16,4,5G,Mobile
20251120,C1000013,2005,2560,,309,17,2,4G,Mobile
20251121,C1000013,2201,1024,,194,6,0,4G,Mobile
20251122,C1000013,2002,2048,,942,16,0,4G,Mobile
20251123,C1000013,2002,2048,,1017,7,0,4G,Hotspot
20251124,C1000013,2004,1024,547,146,15,2,5G,Mobile
20251125,C1000013,2002,2048,,1407,13,2,4G,Mobile
20251126,C1000013,2002,2048,,1376,10,1,5G,Mobile
20251127,C1000013,2001,1536,,187,20,3,4G,Mobile
20251128,C1000013,2002,2048,,1022,13,0,4G,Mobile
20251129,C1000013,2002,2048,,872,17,1,4G,Mobile
20251130,C1000013,2004,1024,337,343,16,1,5G,Hotspot
20251101,C1000014,2001,1536,,138,11,3,5G,Mobile
20251102,C1000014,2002,2048,,47,15,1,4G,Mobile
20251103,C1000014,2004,1024,89,252,14,0,4G,Hotspot
20251104,C1000014,2003,2048,582,171,15,1,4G,Mobile
20251105,C1000014,2005,2560,,370,8,1,4G,Mobile
20251106,C1000014,2201,1024,,522,12,3,4G,Mobile
20251107,C1000014,2001,1536,,735,17,2,4G,Mobile
20251108,C1000014,2201,1024,,789,5,3,4G,Mobile
20251109,C1000014,2201,1024,,222,14,2,4G,Hotspot
20251110,C1000014,2002,2048,,1318,7,1,5G,Mobile
20251111,C1000014,2005,2560,,985,13,2,4G,Mobile
20251112,C1000014,2003,2048,152,728,12,2,4G,Mobile
20251113,C1000014,2005,2560,,752,7,3,4G,Mobile
20251114,C1000014,2005,2560,,488,8,1,4G,Mobile
20251115,C1000014,2201,1024,,99,12,1,4G,Mobile
20251116,C1000014,2002,2048,,716,19,1,4G,Mobile
20251117,C1000014,2004,1024,21,165,7,3,5G,Mobile
20251118,C1000014,2001,1536,,849,6,3,4G,Mobile
20251119,C1000014,2201,1024,,230,9,1,4G,Mobile
20251120,C1000014,2001,1536,,235,11,1,4G,Mobile
20251121,C1000014,2002,2048,,134,13,1,4G,Mobile
20251122,C1000014,2201,1024,,444,17,1,4G,Mobile
20251123,C1000014,2002,2048,,782,10,1,4G,Hotspot
20251124,C1000014,2004,1024,423,620,9,3,5G,Hotspot
20251125,C1000014,2002,2048,,389,15,1,4G,Mobile
20251126,C1000014,2003,2048,366,709,18,0,4G,Mobile
20251127,C1000014,2201,1024,,784,12,0,5G,Mobile
20251128,C1000014,2201,1024,,642,12,2,4G,Mobile
20251129,C1000014,2002,2048,,1449,18,2,5G,Mobile
