customer_id,customer_age,customer_gender,city_identifier,activation_date,customer_type,user_segment,kyc_status,sim_type
C1000058,28,Male,1065,07-03-2023,Prepaid,Self-employed,Verified,Physical SIM
C1000059,19,Male,1030,19-05-2024,Prepaid,Salaried,Verified,Physical SIM
C1000060,24,Female,1029,27-02-2023,Prepaid,Salaried,Verified,Physical SIM
C1000061,41,Male,1042,12-05-2025,Prepaid,Self-employed,Verified,Physical SIM
C1000062,41,Female,1030,11-12-2023,Prepaid,Salaried,Verified,eSIM
C1000063,33,Male,1052,13-04-2023,Prepaid,Student,Rejected,eSIM
C1000064,31,Female,1068,20-09-2023,Prepaid,Salaried,Pending,Physical SIM
C1000065,53,Female,1025,01-09-2024,Prepaid,Self-employed,Verified,Physical SIM
C1000066,37,Female,1037,13-04-2025,Postpaid,Salaried,Verified,eSIM
C1000067,52,Male,1026,24-04-2023,Prepaid,Student,Verified,Physical SIM
C1000068,59,Female,1045,06-12-2023,Prepaid,Rural Worker,Verified,Physical SIM
C1000069,31,Male,1046,06-05-2023,Postpaid,Rural Worker,Verified,Physical SIM
C1000070,26,Male,1034,17-09-2023,Prepaid,Salaried,Verified,Physical SIM
C1000071,58,Male,1006,25-11-2023,Prepaid,Self-employed,Verified,Physical SIM
C1000072,45,Female,1070,19-09-2024,Prepaid,Senior,Verified,Physical SIM
C1000073,30,Female,1053,22-04-2023,Prepaid,Salaried,Pending,Physical SIM
C1000074,44,Male,1055,11-10-2024,Prepaid,Salaried,Pending,Physical SIM
C1000075,40,Female,1060,05-04-2025,Prepaid,Salaried,Verified,Physical SIM
C1000076,56,Male,1002,03-10-2025,Postpaid,Rural Worker,Verified,Physical SIM
C1000077,29,Female,1066,24-06-2024,Prepaid,Self-employed,Verified,eSIM
C1000078,60,Male,1007,29-05-2024,Prepaid,Student,Verified,Physical SIM
C1000079,58,Female,1057,17-11-2024,Postpaid,Rural Worker,Verified,Physical SIM
C1000080,25,Male,1072,28-11-2025,Prepaid,Self-employed,Verified,Physical SIM
C1000081,25,Female,1039,01-03-2023,Prepaid,Salaried,Verified,Physical SIM
C1000082,40,Male,1054,13-07-2023,Prepaid,Senior,Verified,Physical SIM
C1000083,19,Female,1066,28-08-2023,Prepaid,Self-employed,Verified,Physical SIM
C1000084,30,Other,1043,18-07-2023,Postpaid,Self-employed,Verified,Physical SIM
C1000085,36,Male,1037,11-07-2024,Prepaid,Rural Worker,Verified,Physical SIM
C1000086,59,Female,1061,22-02-2023,Prepaid,Student,Verified,Physical SIM
C1000087,60,Female,1060,29-03-2023,Prepaid,Self-employed,Verified,Physical SIM
C1000088,24,Female,1007,12-12-2024,Prepaid,Salaried,Verified,Physical SIM
C1000089,56,Female,1005,21-06-2023,Prepaid,Rural Worker,Verified,eSIM
C1000090,21,Female,1054,19-12-2023,Prepaid,Rural Worker,Verified,Physical SIM
C1000091,50,Male,1054,24-01-2023,Prepaid,Self-employed,Verified,Physical SIM
C1000092,54,Male,1061,25-03-2025,Prepaid,Self-employed,Verified,Physical SIM
C1000093,56,Female,1007,28-08-2025,Prepaid,Self-employed,Verified,Physical SIM
C1000094,27,Male,1012,02-01-2025,Postpaid,Salaried,Verified,Physical SIM
C1000095,56,Female,1003,04-04-2024,Prepaid,Salaried,Verified,Physical SIM
C1000096,22,Other,1022,28-02-2024,Prepaid,Student,Verified,Physical SIM
C1000097,40,Female,1038,17-02-2023,Postpaid,Self-employed,Pending,eSIM
C1000098,38,Male,1028,29-09-2023,Prepaid,Salaried,Verified,Physical SIM
C1000099,31,Male,1009,05-05-2024,Prepaid,Salaried,Verified,Physical SIM
C1000100,18,Female,1042,23-02-2023,Postpaid,Salaried,Verified,Physical SIM
C1000101,51,Female,1025,03-08-2025,Postpaid,Salaried,Verified,Physical SIM
C1000102,32,Female,1022,25-10-2024,Prepaid,Salaried,Verified,Physical SIM
C1000103,46,Male,1059,22-07-2023,Prepaid,Senior,Rejected,Physical SIM
C1000104,35,Male,1024,29-07-2025,Postpaid,Rural Worker,Pending,Physical SIM
C1000105,34,Male,1042,11-09-2023,Prepaid,Salaried,Verified,Physical SIM
C1000106,56,Male,1006,02-12-2024,Prepaid,Self-employed,Verified,Physical SIM
C1000107,22,Male,1056,12-11-2025,Prepaid,Student,Verified,Physical SIM
C1000108,49,Male,1041,24-01-2024,Prepaid,Student,Verified,Physical SIM
C1000109,50,Male,1059,28-06-2025,Postpaid,Salaried,Verified,Physical SIM
C1000110,34,Male,1023,11-09-2025,Postpaid,Self-employed,Verified,Physical SIM
C1000111,29,Female,1037,07-08-2024,Prepaid,Student,Verified,Physical SIM
C1000112,18,Male,1033,23-11-2024,Prepaid,Salaried,Verified,eSIM
C1000113,58,Female,1074,18-07-2023,Prepaid,Salaried,Verified,Physical SIM
C1000114,58,Female,1008,14-06-2025,Prepaid,Student,Verified,Physical SIM
C1000115,28,Male,1016,22-08-2023,Prepaid,Salaried,Verified,Physical SIM
C1000116,19,Female,1073,10-11-2023,Prepaid,Salaried,Verified,eSIM
C1000117,23,Female,1007,06-07-2025,Prepaid,Rural Worker,Verified,Physical SIM
C1000118,20,Female,1021,09-08-2023,Prepaid,Salaried,Verified,Physical SIM
C1000119,53,Male,1024,20-12-2024,Prepaid,Student,Verified,Physical SIM
C1000120,56,Male,1060,26-01-2024,Prepaid,Student,Pending,Physical SIM
C1000121,24,Female,1058,09-01-2024,Postpaid,Student,Verified,Physical SIM
C1000122,50,Female,1066,30-08-2025,Prepaid,Self-employed,Verified,Physical SIM
C1000123,25,Male,1008,28-01-2023,Prepaid,Salaried,Verified,eSIM
C1000124,33,Male,1017,09-03-2025,Prepaid,Student,Verified,Physical SIM
C1000125,43,Female,1036,25-05-2023,Prepaid,Rural Worker,Verified,Physical SIM
C1000126,48,Male,1055,03-05-2025,Prepaid,Self-employed,Verified,Physical SIM
C1000127,55,Male,1043,15-02-2025,Prepaid,Student,Pending,Physical SIM
C1000128,19,Female,1040,20-10-2024,Prepaid,Salaried,Verified,Physical SIM
C1000129,26,Male,1061,21-11-2024,Prepaid,Self-employed,Verified,Physical SIM
C1000130,30,Male,1015,20-01-2023,Prepaid,Self-employed,Verified,Physical SIM
C1000131,31,Male,1064,18-01-2024,Prepaid,Rural Worker,Verified,Physical SIM
C1000132,60,Female,1050,15-02-2025,Prepaid,Student,Verified,Physical SIM
C1000133,51,Male,1018,22-09-2024,Prepaid,Self-employed,Verified,Physical SIM
C1000134,31,Male,1033,30-07-2023,Prepaid,Student,Verified,Physical SIM
C1000135,59,Male,1021,15-03-2025,Prepaid,Salaried,Pending,eSIM
C1000136,39,Prefer Not To Say,1024,10-11-2023,Postpaid,Self-employed,Verified,Physical SIM
C1000137,39,Male,1052,16-11-2024,Prepaid,Self-employed,Verified,Physical SIM
C1000138,36,Male,1023,07-11-2024,Prepaid,Student,Verified,eSIM
C1000139,24,Male,1065,13-09-2023,Prepaid,Salaried,Verified,Physical SIM
C1000140,58,Female,1008,22-02-2023,Prepaid,Self-employed,Verified,Physical SIM
C1000141,18,Female,1013,10-10-2025,Prepaid,Student,Verified,eSIM
C1000142,25,Female,1069,15-03-2025,Postpaid,Salaried,Verified,Physical SIM
C1000143,27,Male,1055,26-01-2023,Prepaid,Student,Verified,Physical SIM
C1000144,30,Female,1033,26-07-2023,Prepaid,Student,Pending,Physical SIM
C1000145,23,Male,1018,15-08-2024,Prepaid,Self-employed,Rejected,Physical SIM
C1000146,18,Female,1020,31-07-2025,Prepaid,Student,Verified,Physical SIM
C1000147,47,Female,1014,26-08-2023,Postpaid,Salaried,Verified,Physical SIM
C1000148,59,Male,1068,14-07-2024,Postpaid,Self-employed,Verified,Physical SIM
C1000149,23,Female,1026,23-01-2025,Prepaid,Student,Verified,Physical SIM
C1000150,30,Male,1071,22-07-2025,Prepaid,Salaried,Verified,Physical SIM
C1000151,39,Female,1060,21-08-2024,Prepaid,Salaried,Verified,Physical SIM
C1000152,57,Male,1027,20-03-2024,Prepaid,Self-employed,Verified,Physical SIM
C1000153,47,Female,1056,28-07-2023,Prepaid,Self-employed,Verified,Physical SIM
C1000154,50,Prefer Not To Say,1036,08-08-2024,Postpaid,Self-employed,Verified,Physical SIM
C1000155,42,Male,1036,22-06-2024,Prepaid,Salaried,Pending,Physical SIM
C1000156,35,Female,1058,03-08-2025,Prepaid,Self-employed,Verified,Physical SIM
C1000157,26,Female,1054,07-07-2024,Prepaid,Salaried,Verified,Physical SIM
C1000158,55,Female,1017,01-04-2025,Prepaid,Salaried,Verified,eSIM
C1000159,52,Male,1031,23-03-2024,Prepaid,Student,Verified,Physical SIM
C1000160,19,Male,1071,16-06-2024,Prepaid,Student,Verified,Physical SIM
C1000161,48,Female,1016,14-02-2023,Prepaid,Salaried,Verified,eSIM
C1000162,21,Male,1054,11-06-2024,Postpaid,Salaried,Verified,Physical SIM
C1000163,49,Male,1064,09-08-2023,Prepaid,Rural Worker,Verified,Physical SIM
C1000164,53,Male,1046,12-12-2023,Prepaid,Senior,Pending,Physical SIM
C1000165,23,Male,1005,28-10-2025,Prepaid,Student,Verified,Physical SIM
C1000166,36,Male,1064,23-12-2024,Prepaid,Rural Worker,Verified,Physical SIM
C1000167,23,Male,1068,20-07-2023,Prepaid,Self-employed,Verified,Physical SIM
C1000168,42,Prefer Not To Say,1049,16-08-2024,Postpaid,Salaried,Verified,Physical SIM
C1000169,57,Female,1060,03-05-2024,Prepaid,Senior,Verified,Physical SIM
C1000170,21,Female,1004,13-03-2025,Prepaid,Self-employed,Verified,Physical SIM
C1000171,35,Female,1055,10-11-2023,Prepaid,Salaried,Verified,Physical SIM
C1000172,59,Male,1061,15-11-2024,Prepaid,Salaried,Pending,Physical SIM
C1000173,30,Female,1043,17-03-2025,Postpaid,Salaried,Verified,eSIM
C1000174,23,Male,1040,05-02-2025,Prepaid,Rural Worker,Verified,Physical SIM
C1000175,39,Male,1061,07-09-2024,Prepaid,Salaried,Verified,Physical SIM
C1000176,39,Male,1050,21-01-2023,Postpaid,Student,Verified,Physical SIM
C1000177,46,Male,1003,31-01-2025,Prepaid,Salaried,Verified,Physical SIM
C1000178,31,Female,1014,21-10-2025,Prepaid,Salaried,Verified,eSIM
C1000179,59,Male,1045,09-11-2024,Prepaid,Salaried,Verified,Physical SIM
C1000180,40,Female,1046,19-09-2024,Prepaid,Rural Worker,Pending,Physical SIM
C1000181,30,Male,1020,20-06-2024,Prepaid,Salaried,Verified,Physical SIM
C1000182,59,Male,1011,03-04-2023,Postpaid,Rural Worker,Verified,Physical SIM
C1000183,57,Male,1048,20-10-2025,Prepaid,Salaried,Verified,Physical SIM
C1000184,39,Male,1024,03-02-2024,Prepaid,Salaried,Verified,Physical SIM
C1000185,19,Female,1051,18-01-2025,Postpaid,Student,Verified,Physical SIM
C1000186,43,Male,1050,05-08-2024,Prepaid,Salaried,Verified,Physical SIM
C1000187,41,Male,1017,03-01-2025,Prepaid,Rural Worker,Verified,Physical SIM
C1000188,24,Male,1058,28-03-2023,Prepaid,Self-employed,Verified,Physical SIM
C1000189,45,Female,1012,05-01-2025,Prepaid,Salaried,Verified,Physical SIM
C1000190,54,Female,1030,12-08-2024,Prepaid,Rural Worker,Verified,Physical SIM
C1000191,22,Male,1045,12-05-2024,Prepaid,Self-employed,Verified,Physical SIM
C1000192,49,Female,1067,06-03-2025,Prepaid,Student,Pending,Physical SIM
C1000193,24,Male,1071,15-11-2024,Prepaid,Salaried,Verified,Physical SIM
C1000194,50,Male,1053,16-03-2025,Prepaid,Self-employed,Pending,Physical SIM
C1000195,36,Male,1050,05-10-2024,Prepaid,Self-employed,Verified,Physical SIM
C1000196,18,Female,1038,14-04-2025,Prepaid,Student,Verified,Physical SIM
C1000197,59,Male,1037,04-08-2025,Prepaid,Salaried,Verified,eSIM
C1000198,25,Female,1042,16-05-2025,Prepaid,Salaried,Pending,Physical SIM
C1000199,43,Male,1071,08-11-2025,Prepaid,Salaried,Verified,Physical SIM
C1000200,25,Male,1049,27-07-2024,Prepaid,Student,Verified,Physical SIM
C1000201,58,Female,1062,29-05-2024,Prepaid,Salaried,Verified,Physical SIM
C1000202,49,Female,1042,16-03-2023,Prepaid,Salaried,Verified,Physical SIM
C1000203,52,Female,1055,01-10-2024,Prepaid,Student,Verified,Physical SIM
C1000204,36,Male,1064,27-12-2024,Prepaid,Salaried,Verified,Physical SIM
C1000205,38,Male,1033,06-11-2023,Prepaid,Student,Verified,Physical SIM
C1000206,45,Female,1049,13-02-2023,Prepaid,Salaried,Verified,Physical SIM
C1000207,51,Female,1037,19-06-2025,Postpaid,Self-employed,Verified,Physical SIM
C1000208,54,Male,1039,15-05-2023,Prepaid,Rural Worker,Verified,Physical SIM
C1000209,18,Female,1020,26-01-2025,Postpaid,Salaried,Verified,Physical SIM
C1000210,46,Male,1063,04-11-2025,Postpaid,Rural Worker,Verified,Physical SIM
C1000211,22,Male,1062,11-09-2025,Prepaid,Rural Worker,Verified,Physical SIM
C1000212,30,Male,1070,20-08-2023,Prepaid,Salaried,Verified,Physical SIM
C1000213,53,Male,1022,06-10-2024,Prepaid,Senior,Verified,Physical SIM
C1000214,28,Male,1075,28-09-2025,Postpaid,Salaried,Verified,Physical SIM
C1000215,52,Male,1053,24-01-2025,Prepaid,Student,Verified,Physical SIM
C1000216,37,Female,1026,03-11-2023,Postpaid,Self-employed,Verified,Physical SIM
C1000217,28,Female,1066,12-04-2023,Prepaid,Salaried,Verified,Physical SIM
C1000218,32,Male,1042,05-07-2024,Prepaid,Salaried,Verified,Physical SIM
C1000219,40,Female,1042,08-10-2024,Prepaid,Student,Verified,Physical SIM
C1000220,50,Male,1057,20-07-2023,Prepaid,Student,Verified,Physical SIM
C1000221,44,Male,1012,06-02-2024,Prepaid,Student,Verified,Physical SIM
C1000222,58,Male,1035,22-03-2024,Postpaid,Student,Verified,Physical SIM
C1000223,55,Female,1002,25-06-2024,Prepaid,Senior,Verified,Physical SIM
C1000224,50,Male,1032,27-02-2023,Postpaid,Salaried,Verified,Physical SIM
C1000225,43,Male,1051,14-12-2023,Postpaid,Self-employed,Verified,Physical SIM
C1000226,30,Female,1075,15-06-2025,Prepaid,Student,Verified,Physical SIM
C1000227,35,Male,1017,02-11-2023,Prepaid,Salaried,Verified,eSIM
C1000228,23,Male,1066,03-05-2025,Prepaid,Rural Worker,Verified,eSIM
C1000229,34,Other,1003,24-05-2025,Prepaid,Student,Verified,Physical SIM
C1000230,57,Male,1002,10-07-2025,Postpaid,Salaried,Verified,Physical SIM
C1000231,36,Female,1026,16-08-2024,Postpaid,Self-employed,Verified,Physical SIM
C1000232,22,Male,1022,21-01-2024,Postpaid,Student,Verified,Physical SIM
C1000233,46,Male,1044,27-09-2023,Prepaid,Student,Verified,Physical SIM
C1000234,59,Female,1015,24-07-2024,Prepaid,Senior,Verified,eSIM
C1000235,55,Female,1042,27-03-2025,Prepaid,Salaried,Verified,Physical SIM
C1000236,29,Female,1075,31-05-2025,Postpaid,Self-employed,Verified,Physical SIM
C1000237,37,Female,1013,21-03-2023,Prepaid,Student,Verified,Physical SIM
C1000238,40,Male,1033,16-09-2025,Prepaid,Salaried,Verified,Physical SIM
C1000239,28,Female,1046,09-11-2023,Prepaid,Salaried,Verified,Physical SIM
C1000240,29,Male,1033,28-09-2023,Prepaid,Self-employed,Verified,Physical SIM
C1000241,28,Female,1031,25-12-2023,Prepaid,Salaried,Verified,Physical SIM
C1000242,60,Male,1003,25-01-2024,Prepaid,Rural Worker,Verified,Physical SIM
C1000243,50,Female,1036,09-07-2023,Postpaid,Self-employed,Verified,eSIM
C1000244,54,Male,1070,12-12-2023,Prepaid,Salaried,Verified,Physical SIM
C1000245,53,Female,1066,16-06-2025,Prepaid,Salaried,Verified,Physical SIM
C1000246,59,Male,1060,28-01-2023,Postpaid,Salaried,Verified,Physical SIM
C1000247,22,Female,1006,18-12-2024,Prepaid,Self-employed,Verified,Physical SIM
C1000248,55,Female,1010,23-07-2025,Prepaid,Student,Verified,Physical SIM
C1000249,20,Male,1040,14-12-2024,Prepaid,Rural Worker,Verified,Physical SIM
C1000250,38,Male,1023,20-05-2024,Prepaid,Salaried,Verified,Physical SIM
C1000251,43,Male,1014,23-09-2024,Prepaid,Rural Worker,Verified,Physical SIM
C1000252,33,Female,1014,28-07-2024,Prepaid,Senior,Verified,Physical SIM
C1000253,24,Female,1014,07-02-2024,Prepaid,Student,Verified,Physical SIM
C1000254,26,Male,1007,20-06-2025,Prepaid,Salaried,Verified,eSIM
C1000255,53,Male,1046,02-12-2024,Prepaid,Salaried,Verified,Physical SIM
C1000256,31,Female,1032,01-03-2023,Prepaid,Salaried,Verified,Physical SIM
C1000257,31,Male,1051,23-02-2025,Prepaid,Self-employed,Verified,Physical SIM
C1000258,57,Male,1017,16-09-2023,Prepaid,Student,Verified,Physical SIM
C1000259,24,Male,1046,27-07-2024,Prepaid,Salaried,Verified,Physical SIM
C1000260,57,Female,1014,01-07-2023,Prepaid,Rural Worker,Verified,Physical SIM
C1000261,57,Female,1070,16-05-2024,Prepaid,Senior,Verified,Physical SIM
C1000262,43,Female,1013,04-06-2023,Prepaid,Student,Verified,Physical SIM
C1000263,25,Male,1060,27-08-2023,Prepaid,Senior,Pending,Physical SIM
C1000264,24,Female,1052,13-07-2025,Prepaid,Student,Verified,Physical SIM
C1000265,30,Male,1015,31-03-2023,Prepaid,Salaried,Verified,Physical SIM
C1000266,42,Male,1007,22-11-2023,Prepaid,Salaried,Verified,Physical SIM
C1000267,24,Male,1048,13-02-2023,Postpaid,Salaried,Verified,Physical SIM
C1000268,37,Female,1004,20-07-2023,Prepaid,Student,Verified,Physical SIM
C1000269,22,Female,1047,30-01-2025,Prepaid,Salaried,Verified,Physical SIM
C1000270,41,Male,1051,09-08-2024,Postpaid,Salaried,Verified,Physical SIM
C1000271,18,Male,1049,07-01-2024,Prepaid,Rural Worker,Verified,Physical SIM
C1000272,48,Male,1074,06-04-2023,Prepaid,Salaried,Verified,Physical SIM
C1000273,20,Female,1033,24-01-2025,Prepaid,Self-employed,Verified,Physical SIM
C1000274,26,Male,1038,30-09-2023,Prepaid,Self-employed,Rejected,eSIM
C1000275,25,Female,1072,24-06-2024,Prepaid,Salaried,Verified,Physical SIM
C1000276,53,Female,1065,16-05-2023,Prepaid,Student,Verified,Physical SIM
C1000277,20,Female,1035,20-04-2024,Postpaid,Student,Verified,eSIM
C1000278,36,Male,1032,19-07-2025,Postpaid,Salaried,Verified,Physical SIM
C1000279,43,Female,1060,31-10-2024,Postpaid,Rural Worker,Verified,Physical SIM
C1000280,40,Female,1043,21-05-2024,Prepaid,Salaried,Verified,Physical SIM
C1000281,47,Male,1037,15-07-2023,Postpaid,Self-employed,Verified,Physical SIM
C1000282,52,Male,1062,10-10-2023,Postpaid,Self-employed,Verified,Physical SIM
C1000283,34,Female,1060,09-11-2025,Prepaid,Rural Worker,Verified,Physical SIM
C1000284,53,Female,1032,25-09-2025,Prepaid,Salaried,Verified,eSIM
C1000285,31,Male,1030,18-12-2023,Prepaid,Rural Worker,Verified,eSIM
C1000286,60,Female,1051,15-11-2024,Prepaid,Salaried,Verified,Physical SIM
C1000287,39,Female,1001,30-03-2025,Prepaid,Salaried,Verified,eSIM
C1000288,49,Male,1059,13-03-2024,Prepaid,Self-employed,Verified,Physical SIM
C1000289,55,Female,1038,21-09-2023,Prepaid,Salaried,Verified,eSIM
C1000290,52,Male,1066,23-12-2023,Prepaid,Self-employed,Verified,Physical SIM
C1000291,54,Female,1042,13-05-2024,Prepaid,Salaried,Verified,Physical SIM
C1000292,41,Female,1030,19-01-2024,Prepaid,Self-employed,Verified,Physical SIM
C1000293,19,Female,1009,15-06-2024,Postpaid,Rural Worker,Verified,Physical SIM
C1000294,39,Female,1001,13-06-2023,Postpaid,Salaried,Verified,Physical SIM
C1000295,25,Female,1050,23-11-2023,Prepaid,Student,Verified,Physical SIM
C1000296,56,Female,1015,10-07-2023,Prepaid,Salaried,Verified,Physical SIM
C1000297,28,Male,1065,07-01-2024,Postpaid,Rural Worker,Verified,eSIM
C1000298,27,Male,1038,26-10-2023,Prepaid,Salaried,Verified,Physical SIM
C1000299,28,Female,1066,08-04-2024,Postpaid,Rural Worker,Pending,Physical SIM
C1000300,45,Male,1035,29-11-2025,Prepaid,Salaried,Verified,eSIM
C1000301,42,Male,1029,09-06-2025,Prepaid,Salaried,Verified,Physical SIM
C1000302,58,Male,1011,20-10-2024,Prepaid,Rural Worker,Rejected,Physical SIM
C1000303,35,Female,1031,16-06-2024,Prepaid,Self-employed,Verified,Physical SIM
C1000304,30,Female,1062,21-12-2023,Prepaid,Salaried,Pending,Physical SIM
C1000305,20,Female,1065,05-04-2023,Prepaid,Student,Verified,Physical SIM
C1000306,18,Female,1036,21-10-2024,Postpaid,Rural Worker,Verified,Physical SIM
C1000307,34,Female,1075,19-08-2023,Prepaid,Self-employed,Verified,Physical SIM
C1000308,57,Male,1003,10-02-2023,Prepaid,Salaried,Verified,Physical SIM
C1000309,40,Male,1004,16-11-2025,Prepaid,Salaried,Verified,Physical SIM
C1000310,56,Female,1005,11-08-2023,Prepaid,Salaried,Verified,Physical SIM
C1000311,22,Male,1005,06-04-2023,Prepaid,Salaried,Verified,Physical SIM
C1000312,22,Female,1001,23-09-2024,Prepaid,Student,Verified,Physical SIM
C1000313,53,Male,1005,20-11-2024,Prepaid,Salaried,Verified,Physical SIM
C1000314,22,Male,1060,19-10-2023,Postpaid,Self-employed,Verified,Physical SIM
C1000315,20,Female,1035,13-08-2023,Prepaid,Salaried,Verified,Physical SIM
C1000316,35,Male,1059,29-05-2023,Prepaid,Self-employed,Verified,Physical SIM
C1000317,57,Other,1059,05-04-2024,Postpaid,Salaried,Verified,Physical SIM
C1000318,47,Male,1052,08-03-2024,Prepaid,Student,Verified,Physical SIM
C1000319,22,Male,1008,16-01-2024,Prepaid,Salaried,Verified,Physical SIM
C1000320,53,Male,1010,11-09-2025,Prepaid,Student,Verified,Physical SIM
C1000321,54,Female,1052,06-11-2025,Postpaid,Self-employed,Verified,Physical SIM
C1000322,52,Female,1072,19-07-2025,Prepaid,Rural Worker,Verified,Physical SIM
C1000323,56,Male,1013,10-08-2024,Prepaid,Self-employed,Verified,Physical SIM
C1000324,28,Female,1048,22-10-2025,Postpaid,Self-employed,Verified,Physical SIM
C1000325,60,Male,1003,24-09-2023,Prepaid,Rural Worker,Verified,eSIM
C1000326,31,Female,1015,28-02-2025,Postpaid,Self-employed,Verified,eSIM
C1000327,52,Female,1045,04-10-2024,Prepaid,Salaried,Verified,Physical SIM
C1000328,42,Female,1050,17-10-2024,Prepaid,Self-employed,Verified,Physical SIM
C1000329,51,Other,1045,18-03-2023,Prepaid,Salaried,Verified,Physical SIM
C1000330,44,Female,1034,03-06-2023,Postpaid,Student,Verified,Physical SIM
