billing_id,billing_month,customer_id,plan_id,billed_amount_inr,discount_applied_inr,late_fee_inr,refund_amount_inr,net_revenue_inr,billing_status
B5000153,2025-11,C1000153,2001,299,0,0,349,-50,Refunded
B5000154,2025-11,C1000154,2102,799,50,0,0,749,Billed
B5000155,2025-11,C1000155,2005,499,0,0,0,499,Billed
B5000156,2025-11,C1000156,2201,199,0,0,0,199,Billed
B5000157,2025-11,C1000157,2002,399,0,0,0,399,Billed
B5000158,2025-11,C1000158,2005,499,0,0,0,499,Billed
B5000159,2025-11,C1000159,2004,249,0,0,0,249,Billed
B5000160,2025-11,C1000160,2201,199,0,0,0,199,Billed
B5000161,2025-11,C1000161,2003,999,0,0,0,999,Billed
B5000162,2025-11,C1000162,2102,799,0,0,0,799,Billed
B5000163,2025-11,C1000163,2002,399,0,0,0,399,Billed
B5000164,2025-11,C1000164,2003,999,0,0,0,999,Billed
B5000165,2025-11,C1000165,2001,299,0,0,0,299,Billed
B5000166,2025-11,C1000166,2001,299,100,0,0,199,Billed
B5000167,2025-11,C1000167,2003,999,0,0,0,999,Billed
B5000168,2025-11,C1000168,2103,999,0,0,0,999,Billed
B5000169,2025-11,C1000169,2003,999,0,0,0,999,Billed
B5000170,2025-11,C1000170,2005,499,0,0,0,499,Billed
B5000171,2025-11,C1000171,2004,249,0,0,0,249,Billed
B5000172,2025-11,C1000172,2201,199,0,0,299,-100,Refunded
B5000173,2025-11,C1000173,2103,999,20,0,0,979,Billed
B5000174,2025-11,C1000174,2005,499,0,0,0,499,Billed
B5000175,2025-11,C1000175,2005,499,0,0,0,499,Billed
B5000176,2025-11,C1000176,2102,799,100,25,0,724,Billed
B5000177,2025-11,C1000177,2002,399,100,0,0,299,Billed
B5000178,2025-11,C1000178,2002,399,50,0,0,349,Billed
B5000179,2025-11,C1000179,2002,399,0,0,0,399,Billed
B5000180,2025-11,C1000180,2002,399,0,0,0,399,Billed
B5000181,2025-11,C1000181,2201,199,0,0,0,199,Billed
B5000182,2025-11,C1000182,2102,799,0,0,0,799,Billed
B5000183,2025-11,C1000183,2001,299,0,0,0,299,Billed
B5000184,2025-11,C1000184,2002,399,50,0,0,349,Billed
B5000185,2025-11,C1000185,2103,999,0,25,0,1024,Billed
B5000186,2025-11,C1000186,2003,999,0,0,0,999,Billed
B5000187,2025-11,C1000187,2004,249,0,0,0,249,Billed
B5000188,2025-11,C1000188,2003,999,0,0,0,999,Billed
B5000189,2025-11,C1000189,2003,999,75,0,0,924,Billed
B5000190,2025-11,C1000190,2004,249,0,0,0,249,Billed
B5000191,2025-11,C1000191,2002,399,0,0,0,399,Billed
B5000192,2025-11,C1000192,2004,249,0,0,0,249,Billed
B5000193,2025-11,C1000193,2201,199,0,0,0,199,Billed
B5000194,2025-11,C1000194,2201,199,50,0,0,149,Billed
B5000195,2025-11,C1000195,2201,199,0,0,0,199,Billed
B5000196,2025-11,C1000196,2001,299,0,0,0,299,Billed
B5000197,2025-11,C1000197,2003,999,0,0,0,999,Billed
B5000198,2025-11,C1000198,2004,249,0,0,0,249,Billed
B5000199,2025-11,C1000199,2004,249,0,0,0,249,Billed
B5000200,2025-11,C1000200,2001,299,75,0,0,224,Billed
B5000201,2025-11,C1000201,2003,999,0,0,0,999,Billed
B5000202,2025-11,C1000202,2002,399,50,0,0,349,Billed
B5000203,2025-11,C1000203,2001,299,0,0,0,299,Billed
B5000204,2025-11,C1000204,2201,199,0,0,0,199,Billed
B5000205,2025-11,C1000205,2001,299,0,0,0,299,Billed
B5000206,2025-11,C1000206,2001,299,50,0,0,249,Billed
B5000207,2025-11,C1000207,2101,499,0,0,0,499,Billed
B5000208,2025-11,C1000208,2005,499,0,0,0,499,Billed
B5000209,2025-11,C1000209,2101,499,20,0,0,479,Billed
B5000210,2025-11,C1000210,2101,499,0,0,0,499,Billed
B5000211,2025-11,C1000211,2201,199,20,0,0,179,Billed
B5000212,2025-11,C1000212,2003,999,0,0,0,999,Billed
B5000213,2025-11,C1000213,2003,999,0,0,0,999,Billed
B5000214,2025-11,C1000214,2102,799,0,0,0,799,Billed
B5000215,2025-11,C1000215,2002,399,0,0,0,399,Billed
B5000216,2025-11,C1000216,2102,799,0,0,0,799,Billed
B5000217,2025-11,C1000217,2002,399,30,0,0,369,Billed
B5000218,2025-11,C1000218,2002,399,0,0,0,399,Billed
B5000219,2025-11,C1000219,2003,999,0,0,0,999,Billed
B5000220,2025-11,C1000220,2201,199,0,0,0,199,Billed
B5000221,2025-11,C1000221,2201,199,0,0,0,199,Billed
B5000222,2025-11,C1000222,2102,799,0,0,0,799,Billed
B5000223,2025-11,C1000223,2001,299,0,0,0,299,Billed
B5000224,2025-11,C1000224,2102,799,20,0,0,779,Billed
B5000225,2025-11,C1000225,2101,499,0,0,0,499,Billed
B5000226,2025-11,C1000226,2003,999,0,0,0,999,Billed
B5000227,2025-11,C1000227,2001,299,0,0,0,299,Billed
B5000228,2025-11,C1000228,2001,299,50,0,0,249,Billed
B5000229,2025-11,C1000229,2002,399,0,0,0,399,Billed
B5000230,2025-11,C1000230,2101,499,0,0,149,350,Refunded
B5000231,2025-11,C1000231,2101,499,0,0,0,499,Billed
B5000232,2025-11,C1000232,2101,499,100,0,0,399,Billed
B5000233,2025-11,C1000233,2003,999,0,0,0,999,Billed
B5000234,2025-11,C1000234,2002,399,0,0,0,399,Billed
B5000235,2025-11,C1000235,2003,999,0,0,0,999,Billed
B5000236,2025-11,C1000236,2102,799,0,0,0,799,Billed
B5000237,2025-11,C1000237,2001,299,0,0,0,299,Billed
B5000238,2025-11,C1000238,2003,999,50,0,0,949,Billed
B5000239,2025-11,C1000239,2001,299,30,0,0,269,Billed
B5000240,2025-11,C1000240,2201,199,0,0,0,199,Billed
B5000241,2025-11,C1000241,2201,199,0,0,0,199,Billed
B5000242,2025-11,C1000242,2002,399,75,0,0,324,Billed
B5000243,2025-11,C1000243,2102,799,0,0,0,799,Billed
B5000244,2025-11,C1000244,2002,399,0,0,0,399,Billed
B5000245,2025-11,C1000245,2003,999,0,0,0,999,Billed
B5000246,2025-11,C1000246,2103,999,0,0,0,999,Billed
B5000247,2025-11,C1000247,2002,399,30,0,0,369,Billed
B5000248,2025-11,C1000248,2201,199,50,0,0,149,Billed
B5000249,2025-11,C1000249,2003,999,0,0,0,999,Billed
B5000250,2025-11,C1000250,2201,199,0,0,0,199,Billed
B5000251,2025-11,C1000251,2001,299,0,0,0,299,Billed
B5000252,2025-11,C1000252,2003,999,0,0,0,999,Billed
B5000253,2025-11,C1000253,2201,199,0,0,0,199,Billed
B5000254,2025-11,C1000254,2201,199,50,0,0,149,Billed
B5000255,2025-11,C1000255,2004,249,0,0,199,50,Adjusted
B5000256,2025-11,C1000256,2201,199,0,0,0,199,Billed
B5000257,2025-11,C1000257,2004,249,75,0,0,174,Billed
B5000258,2025-11,C1000258,2001,299,0,0,399,-100,Refunded
B5000259,2025-11,C1000259,2003,999,0,0,0,999,Billed
B5000260,2025-11,C1000260,2201,199,0,0,0,199,Billed
B5000261,2025-11,C1000261,2003,999,100,0,0,899,Billed
B5000262,2025-11,C1000262,2001,299,0,0,0,299,Billed
B5000263,2025-11,C1000263,2002,399,0,0,0,399,Billed
B5000264,2025-11,C1000264,2001,299,0,0,0,299,Billed
B5000265,2025-11,C1000265,2002,399,0,0,0,399,Billed
B5000266,2025-11,C1000266,2001,299,0,0,0,299,Billed
B5000267,2025-11,C1000267,2103,999,0,0,0,999,Billed
B5000268,2025-11,C1000268,2002,399,0,0,0,399,Billed
B5000269,2025-11,C1000269,2201,199,0,0,0,199,Billed
B5000270,2025-11,C1000270,2103,999,0,25,0,1024,Billed
B5000271,2025-11,C1000271,2001,299,0,0,0,299,Billed
B5000272,2025-11,C1000272,2001,299,0,0,0,299,Billed
B5000273,2025-11,C1000273,2002,399,0,0,0,399,Billed
B5000274,2025-11,C1000274,2004,249,0,0,0,249,Billed
B5000275,2025-11,C1000275,2005,499,75,0,0,424,Billed
B5000276,2025-11,C1000276,2201,199,0,0,0,199,Billed
B5000277,2025-11,C1000277,2102,799,0,0,0,799,Billed
B5000278,2025-11,C1000278,2102,799,0,0,0,799,Billed
B5000279,2025-11,C1000279,2101,499,20,0,0,479,Billed
B5000280,2025-11,C1000280,2001,299,0,0,0,299,Billed
B5000281,2025-11,C1000281,2101,499,0,0,0,499,Billed
B5000282,2025-11,C1000282,2101,499,0,0,0,499,Billed
B5000283,2025-11,C1000283,2001,299,0,0,0,299,Billed
B5000284,2025-11,C1000284,2003,999,30,0,0,969,Billed
B5000285,2025-11,C1000285,2004,249,0,0,49,200,Adjusted
B5000286,2025-11,C1000286,2005,499,0,0,0,499,Billed
B5000287,2025-11,C1000287,2201,199,0,0,0,199,Billed
B5000288,2025-11,C1000288,2005,499,0,0,0,499,Billed
B5000289,2025-11,C1000289,2002,399,0,0,0,399,Billed
B5000290,2025-11,C1000290,2001,299,0,0,0,299,Billed
B5000291,2025-11,C1000291,2003,999,20,0,0,979,Billed
B5000292,2025-11,C1000292,2002,399,0,0,0,399,Billed
B5000293,2025-11,C1000293,2101,499,0,0,99,400,Refunded
B5000294,2025-11,C1000294,2103,999,0,0,0,999,Billed
B5000295,2025-11,C1000295,2001,299,0,0,0,299,Billed
B5000296,2025-11,C1000296,2002,399,0,0,0,399,Billed
B5000297,2025-11,C1000297,2101,499,0,0,0,499,Billed
B5000298,2025-11,C1000298,2002,399,,0,199,200,Refunded
B5000299,2025-11,C1000299,2103,999,0,0,149,850,Adjusted
B5000300,2025-11,C1000300,2003,999,0,0,0,999,Billed
B5000301,2025-11,C1000301,2005,499,20,0,0,479,Billed
B5000302,2025-11,C1000302,2001,299,0,0,0,299,Billed
B5000303,2025-11,C1000303,2002,399,0,0,0,399,Billed
B5000304,2025-11,C1000304,2201,199,0,0,0,199,Billed
B5000305,2025-11,C1000305,2004,249,0,0,0,249,Billed
B5000306,2025-11,C1000306,2101,499,0,0,0,499,Billed
B5000307,2025-11,C1000307,2002,399,0,0,0,399,Billed
B5000308,2025-11,C1000308,2001,299,0,0,0,299,Billed
B5000309,2025-11,C1000309,2002,399,0,0,0,399,Billed
B5000310,2025-11,C1000310,2002,399,0,0,0,399,Billed
B5000311,2025-11,C1000311,2003,999,0,0,0,999,Billed
B5000312,2025-11,C1000312,2002,399,20,0,0,379,Billed
B5000313,2025-11,C1000313,2002,399,0,0,0,399,Billed
B5000314,2025-11,C1000314,2102,799,0,0,0,799,Billed
B5000315,2025-11,C1000315,2002,399,50,0,0,349,Billed
B5000316,2025-11,C1000316,2002,399,20,0,0,379,Billed
B5000317,2025-11,C1000317,2103,999,0,0,0,999,Billed
B5000318,2025-11,C1000318,2201,199,0,0,0,199,Billed
B5000319,2025-11,C1000319,2002,399,0,0,0,399,Billed
B5000320,2025-11,C1000320,2003,999,20,0,0,979,Billed
B5000321,2025-11,C1000321,2101,499,0,0,0,499,Billed
B5000322,2025-11,C1000322,2201,199,0,0,0,199,Billed
B5000323,2025-11,C1000323,2003,999,0,0,0,999,Billed
B5000324,2025-11,C1000324,2101,499,0,0,0,499,Billed
B5000325,2025-11,C1000325,2201,199,20,0,0,179,Billed
B5000326,2025-11,C1000326,2102,799,0,0,0,799,Billed
B5000327,2025-11,C1000327,2004,249,0,0,0,249,Billed
B5000328,2025-11,C1000328,2002,399,0,0,0,399,Billed
B5000329,2025-11,C1000329,2005,499,0,0,0,499,Billed
B5000330,2025-11,C1000330,2103,999,0,0,0,999,Billed
B5000331,2025-11,C1000331,2004,249,0,0,0,249,Billed
B5000332,2025-11,C1000332,2003,999,30,0,0,969,Billed
B5000333,2025-11,C1000333,2004,249,0,0,0,249,Billed
B5000334,2025-11,C1000334,2002,399,0,0,0,399,Billed
B5000335,2025-11,C1000335,2001,299,0,0,0,299,Billed
B5000336,2025-11,C1000336,2002,399,0,0,0,399,Billed
B5000337,2025-11,C1000337,2201,199,100,0,0,99,Billed
B5000338,2025-11,C1000338,2001,299,30,0,0,269,Billed
B5000339,2025-11,C1000339,2002,399,0,0,0,399,Billed
B5000340,2025-11,C1000340,2201,199,0,0,149,50,Adjusted
B5000341,2025-11,C1000341,2004,249,0,0,0,249,Billed
B5000342,2025-11,C1000342,2002,399,20,0,0,379,Billed
B5000343,2025-11,C1000343,2201,199,0,0,0,199,Billed
B5000344,2025-11,C1000344,2101,499,0,0,0,499,Billed
B5000345,2025-11,C1000345,2004,249,100,0,0,149,Billed
B5000346,2025-11,C1000346,2101,499,0,0,0,499,Billed
B5000347,2025-11,C1000347,2002,399,75,0,0,324,Billed
B5000348,2025-11,C1000348,2001,299,0,0,0,299,Billed
B5000349,2025-11,C1000349,2103,999,0,0,0,999,Billed
B5000350,2025-11,C1000350,2001,299,20,0,0,279,Billed
B5000351,2025-11,C1000351,2002,399,0,0,0,399,Billed
B5000352,2025-11,C1000352,2001,299,0,0,0,299,Billed
B5000353,2025-11,C1000353,2201,199,0,0,0,199,Billed
B5000354,2025-11,C1000354,2101,499,30,0,0,469,Billed
B5000355,2025-11,C1000355,2001,299,0,0,0,299,Billed
B5000356,2025-11,C1000356,2005,499,0,0,0,499,Billed
B5000357,2025-11,C1000357,2001,299,0,0,0,299,Billed
B5000358,2025-11,C1000358,2002,399,0,0,0,399,Billed
B5000359,2025-11,C1000359,2103,999,100,0,0,899,Billed
B5000360,2025-11,C1000360,2001,299,0,0,0,299,Billed
B5000361,2025-11,C1000361,2101,499,0,0,0,499,Billed
B5000362,2025-11,C1000362,2005,499,0,0,0,499,Billed
B5000363,2025-11,C1000363,2004,249,0,0,0,249,Billed
B5000364,2025-11,C1000364,2002,399,0,0,0,399,Billed
B5000365,2025-11,C1000365,2002,399,75,0,0,324,Billed
B5000366,2025-11,C1000366,2002,399,0,0,99,300,Adjusted
B5000367,2025-11,C1000367,2201,199,0,0,0,199,Billed
B5000368,2025-11,C1000368,2201,199,0,0,99,100,Adjusted
B5000369,2025-11,C1000369,2101,499,75,0,0,424,Billed
B5000370,2025-11,C1000370,2003,999,0,0,0,999,Billed
B5000371,2025-11,C1000371,2003,999,0,0,0,999,Billed
B5000372,2025-11,C1000372,2201,199,0,0,0,199,Billed
B5000373,2025-11,C1000373,2002,399,0,0,0,399,Billed
B5000374,2025-11,C1000374,2103,999,0,0,0,999,Billed
B5000375,2025-11,C1000375,2003,999,30,0,0,969,Billed
B5000376,2025-11,C1000376,2201,199,20,0,0,179,Billed
B5000377,2025-11,C1000377,2002,399,0,0,0,399,Billed
B5000378,2025-11,C1000378,2201,199,0,0,0,199,Billed
B5000379,2025-11,C1000379,2002,399,0,0,0,399,Billed
B5000380,2025-11,C1000380,2002,399,0,0,0,399,Billed
B5000381,2025-11,C1000381,2002,399,0,0,99,300,Adjusted
B5000382,2025-11,C1000382,2201,199,0,0,0,199,Billed
B5000383,2025-11,C1000383,2201,199,0,0,0,199,Billed
B5000384,2025-11,C1000384,2001,299,0,0,0,299,Billed
B5000385,2025-11,C1000385,2201,199,0,0,0,199,Billed
B5000386,2025-11,C1000386,2002,399,20,0,0,379,Billed
B5000387,2025-11,C1000387,2004,249,0,0,0,249,Billed
B5000388,2025-11,C1000388,2102,799,0,0,0,799,Billed
B5000389,2025-11,C1000389,2003,999,0,0,0,999,Billed
B5000390,2025-11,C1000390,2002,399,0,0,0,399,Billed
B5000391,2025-11,C1000391,2001,299,0,0,0,299,Billed
B5000392,2025-11,C1000392,2002,399,0,0,0,399,Billed
B5000393,2025-11,C1000393,2001,299,20,0,0,279,Billed
B5000394,2025-11,C1000394,2004,249,0,0,0,249,Billed
B5000395,2025-11,C1000395,2201,199,0,0,0,199,Billed
B5000396,2025-11,C1000396,2002,399,0,0,0,399,Billed
B5000397,2025-11,C1000397,2005,499,,0,0,499,Billed
B5000398,2025-11,C1000398,2201,199,0,0,0,199,Billed
B5000399,2025-11,C1000399,2001,299,0,0,0,299,Billed
B5000400,2025-11,C1000400,2004,249,0,0,0,249,Billed
B5000401,2025-11,C1000401,2103,999,0,0,0,999,Billed
B5000402,2025-11,C1000402,2001,299,30,0,0,269,Billed
B5000403,2025-11,C1000403,2004,249,0,0,0,249,Billed
B5000404,2025-11,C1000404,2103,999,0,0,0,999,Billed
B5000405,2025-11,C1000405,2004,249,100,0,0,149,Billed
B5000406,2025-11,C1000406,2001,299,0,0,0,299,Billed
B5000407,2025-11,C1000407,2003,999,0,0,0,999,Billed
B5000408,2025-11,C1000408,2003,999,0,0,0,999,Billed
B5000409,2025-11,C1000409,2002,399,0,0,0,399,Billed
B5000410,2025-11,C1000410,2002,399,0,0,0,399,Billed
B5000411,2025-11,C1000411,2201,199,20,0,0,179,Billed
B5000412,2025-11,C1000412,2103,999,0,0,0,999,Billed
B5000413,2025-11,C1000413,2004,249,0,0,0,249,Billed
B5000414,2025-11,C1000414,2002,399,0,0,0,399,Billed
B5000415,2025-11,C1000415,2002,399,0,0,0,399,Billed
B5000416,2025-11,C1000416,2002,399,0,0,0,399,Billed
B5000417,2025-11,C1000417,2003,999,0,0,0,999,Billed
B5000418,2025-11,C1000418,2004,249,75,0,0,174,Billed
B5000419,2025-11,C1000419,2004,249,50,0,0,199,Billed
B5000420,2025-11,C1000420,2102,799,30,0,0,769,Billed
B5000421,2025-11,C1000421,2201,199,50,0,0,149,Billed
B5000422,2025-11,C1000422,2002,399,0,0,0,399,Billed
B5000423,2025-11,C1000423,2201,199,0,0,0,199,Billed
B5000424,2025-11,C1000424,2003,999,0,0,0,,Billed
B5000425,2025-11,C1000425,2004,249,0,0,0,249,Billed
B5000426,2025-11,C1000426,2002,399,0,0,0,399,Billed
B5000427,2025-11,C1000427,2001,299,0,0,149,150,Adjusted
B5000428,2025-11,C1000428,2003,999,0,0,0,999,Billed
B5000429,2025-11,C1000429,2103,999,30,0,0,969,Billed
B5000430,2025-11,C1000430,2005,499,0,0,0,499,Billed
B5000431,2025-11,C1000431,2001,299,0,0,0,299,Billed
